Date,GSCPI
31/1/1998,-1.082877919
28/2/1998,-0.455470779
31/3/1998,-0.078439518
30/4/1998,-0.137279076
31/5/1998,-0.437015026
30/6/1998,-0.748395332
31/7/1998,-0.924129349
31/8/1998,-0.885785771
30/9/1998,-0.893451473
31/10/1998,-0.67092861
30/11/1998,-0.836137269
31/12/1998,-0.584720741
31/1/1999,-0.259534009
28/2/1999,0.022744904
31/3/1999,-0.26175003
30/4/1999,-0.211383775
31/5/1999,-0.339590107
30/6/1999,-0.361122854
31/7/1999,-0.605527236
31/8/1999,-0.44477586
30/9/1999,-0.382394673
31/10/1999,-0.122265091
30/11/1999,-0.164452945
31/12/1999,-0.1975657
31/1/2000,-0.600804946
29/2/2000,-0.402217293
31/3/2000,-0.283132446
30/4/2000,0.137328994
31/5/2000,0.288455798
30/6/2000,0.04657106
31/7/2000,-0.003744767
31/8/2000,0.093212577
30/9/2000,0.053516697
31/10/2000,-0.496783568
30/11/2000,-0.709955047
31/12/2000,-0.898861269
31/1/2001,-0.887068718
28/2/2001,-0.752811616
31/3/2001,-0.560524199
30/4/2001,-0.960918652
31/5/2001,-1.080489457
30/6/2001,-0.663516191
31/7/2001,-0.777431987
31/8/2001,-0.738857848
30/9/2001,-0.635596701
31/10/2001,-1.170067976
30/11/2001,-1.386147827
31/12/2001,-1.116221631
31/1/2002,-0.865021636
28/2/2002,-0.432431932
31/3/2002,-0.408273324
30/4/2002,-0.553955066
31/5/2002,-0.274019527
30/6/2002,-0.598226742
31/7/2002,-0.914167512
31/8/2002,-1.052855523
30/9/2002,-1.110268586
31/10/2002,-1.208575043
30/11/2002,-0.702891437
31/12/2002,-0.664321851
31/1/2003,-0.604871036
28/2/2003,-0.279107956
31/3/2003,-0.304582946
30/4/2003,-0.542010268
31/5/2003,-0.194652601
30/6/2003,-0.102095293
31/7/2003,0.013265585
31/8/2003,-0.061112313
30/9/2003,0.06806353
31/10/2003,-0.256308049
30/11/2003,-0.411454147
31/12/2003,-0.36605145
31/1/2004,-0.501082267
29/2/2004,-0.373446045
31/3/2004,-0.010257393
30/4/2004,0.407491934
31/5/2004,0.348839813
30/6/2004,0.418016078
31/7/2004,-0.447519898
31/8/2004,0.071618497
30/9/2004,-0.007168125
31/10/2004,-0.59610267
30/11/2004,-0.043166206
31/12/2004,0.113330626
31/1/2005,-0.095648932
28/2/2005,-0.111907078
31/3/2005,-0.261592108
30/4/2005,-1.295894893
31/5/2005,-0.960687013
30/6/2005,-0.922462638
31/7/2005,-0.863810302
31/8/2005,-0.478343123
30/9/2005,0.081664064
31/10/2005,-0.080001209
30/11/2005,-0.631901924
31/12/2005,-0.686880344
31/1/2006,-0.357892979
28/2/2006,-0.731210629
31/3/2006,-0.387506025
30/4/2006,0.104854545
